PlcIndex;Easting;Northing
504;581351;4760780
505;581345;4760659
506;581285;4760600
507;581330;4760537
508;581407;4760514
509;581428;4760463
510;581736;4760359
511;581795;4760365
512;581872;4760410
513;581905;4760496
514;581950;4760608
515;581825;4760804
516;581780;4760134
517;581172;4755540
518;581400;4755588
519;582771;4757345
520;580532;4758950
521;582655;4759647
522;582784;4762655
523;583053;4762567
524;584056;4762836
525;584262;4762794
526;583935;4762166
527;583471;4761845
528;583334;4761718
529;583508;4760796
530;585311;4759055
531;583180;4762151
532;582981;4761874
533;582131;4760606
534;582186;4760734
535;582113;4760747
536;582133;4760821
537;582260;4760858
538;582163;4760943
539;581888;4760999
540;582308;4761154
541;581741;4761790
542;582144;4761739
543;582265;4761533
544;582204;4761525
545;582001;4761509
546;582001;4761453
547;581926;4761434
548;581814;4761445
549;581479;4761290
550;579695;4760101
551;621364;4711463
552;621661;4712015
553;621536;4711428
554;621610;4711580
555;621480;4712000
556;621844;4712912
557;621877;4713634
558;622007;4713730
559;622006;4713730
560;623399;4712954
561;623432;4712977
562;624374;4717267
563;621044;4709164
564;623132;4706830
565;623178;4705935
566;623202;4705631
567;623177;4705029
568;623399;4713221
569;624232;4716320
570;624249;4716721
571;624434;4713497
572;624665;4713985
573;619903;4710205
574;622918;4707758
575;623495;4714554
576;620028;4713506
577;623840;4713220
578;624409;4713487
579;617135;4706803
580;617312;4706692
581;617084;4707167
582;616867;4706482
583;617513;4707161
584;616031;4710817
585;617659;4709095
586;617474;4710623
587;617649;4711056
588;617535;4710851
589;618909;4713359
590;619368;4713156
591;618858;4711091
592;618548;4709030
593;618551;4708462
594;618697;4707983
595;618469;4707867
596;624995;4708014
597;624162;4707613
598;624604;4706747
599;626579;4703730
600;626471;4703969
601;627220;4707209
602;626958;4707564
603;629338;4707937
604;626826;4708533
605;626784;4709026
606;624331;4705727
607;624611;4711011
608;625955;4710602
609;624318;4712728
610;626467;4709922
611;623386;4713660
612;626788;4710923
613;627216;4711022
614;623823;4706843
615;625162;4707400
616;625043;4707302
617;623683;4711589
618;625705;4712983
619;624506;4710396
